ICR Number	ICR Name	ICR Type	ICR Value	ICR File	ICR Description	ICR Component	ICR Component	ICR Component	ICR Component	ICR Component
1	DBIA1			0	
2	DBIA2			0	
3	DBIA3			0	Using the following variables: DT= Date DTIME = Read timeout DUZ = User\nand paramaters in the DUZ array\n
6	DBIA6-A			0	The following variables are killed only: D0,DI,DIG,DIH,DIU,DIV,& DIQ\nDIROUT - Is used as a quick exit when ^^ is entered at prompts.  DLAYGO -\nis used for calls to Fileman.\n
7	MISC1234501:				Uses variables DX and DY to call %ZOSF and global %ZOSF to get system\nspecific variables.\n\n7 FMS VENDOR CODE:NAME: MISC1234501:\nSPECIAL\nFACTORS: ORDERING ADDRESS:  4 HIGH ST\nAUSTIN, TX 75434\n8               GENERIC GENERAL STORE\n
9	DBIA9			0	KERNEL AND TOOLKIT USES VA NAMESPACE FOR ^VA(200, PERSON FILE.\n
10	DBIA10	G	HOLIDAY(	40.5	USE OF THE HOLIDAY FILE, ^HOLIDAY\n
11	DBIA11	G	DPT( & LRT(67,	0	Use of variable pointers to DPT & REFFERAL File.  Uses following patient\nnodes:\n\nAddress Node .11\nPhone node .13\nField 1, Alias subfile\n0 Node\n^DPT(dfn,0)\n.01      NAME                 0;1      Read w/Fileman\n.02      SEX                  0;2      Read w/Fileman\n.03      DATE OF BIRTH        0;3      Read w/Fileman\n.05      MARITAL STATUS       0;5      Read w/Fileman\n.06      RACE                 0;6      Read w/Fileman\n.07      OCCUPATION           0;7      Read w/Fileman\n.08      RELIGIOUS PREFERENCE 0;8      Read w/Fileman\n.09      SOCIAL SECURITY NUMB 0;9      Read w/Fileman\n.091     REMARKS              0;10     Read w/Fileman\n.092     PLACE OF BIRTH [CITY 0;11     Read w/Fileman\n.093     PLACE OF BIRTH [STAT 0;12     Read w/Fileman\n.14      CURRENT MEANS TEST S 0;14     Read w/Fileman\n.096     WHO ENTERED PATIENT  0;15     Read w/Fileman\n.097     DATE ENTERED INTO FI 0;16     Read w/Fileman\n.081     DUPLICATE STATUS     0;18     Read w/Fileman\n.082     PATIENT MERGED TO    0;19     Read w/Fileman\n.083     CHECK FOR DUPLICATE  0;20     Read w/Fileman\n^DPT(dfn,.11)\n.111     STREET ADDRESS [LINE .11;1    Read w/Fileman\n.112     STREET ADDRESS [LINE .11;2    Read w/Fileman\n.113     STREET ADDRESS [LINE .11;3    Read w/Fileman\n.114     CITY                 .11;4    Read w/Fileman\n.115     STATE                .11;5    Read w/Fileman\n.116     ZIP CODE             .11;6    Read w/Fileman\n.117     COUNTY               .11;7    Read w/Fileman\n.1112    ZIP+4                .11;12   Read w/Fileman\n^DPT(dfn,.13)\n.131     PHONE NUMBER [RESIDE .13;1    Read w/Fileman\n.132     PHONE NUMBER [WORK]  .13;2    Read w/Fileman\n^DPT(dfn,.01,D1,0)\n.01      ALIAS                0;1      Read w/Fileman\n1        ALIAS SSN            0;2      Read w/Fileman\n
12	DBIA12			0	USE OF FILE 63 NODE "LR" AND ^LRDPT FOR DEATH INFORMATION\n
13	DBIA13	G	DPT(	2	PATIENT NODE .35 - DEATH INFO USED TO STUFF ^LR( GLOBAL.\n^DPT(dfn,.35)\n.351     DATE OF DEATH        .35;1    Direct Global Write &\n.352     DEATH ENTERED BY     .35;2    Direct Global Write &\n
